"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-04-03","4.92","0.05","0.0","0.0",,"76","58","    1",,,,"    1",,,,,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-04-04","3.80","0.00","0.0","0.0",,"82","56",,,,,,,"    1","    1",,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-04-05","4.25","0.00","0.0","0.0",,"88","57","    1",,,,,,,"    1",,,,"    1",,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-04-06","11.18","0.00","0.0","0.0",,"88","59",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-04-07","11.41","0.00","0.0","0.0",,"80","64",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-04-08","10.51","1.34","0.0","0.0",,"71","50","    1",,"    1",,"    1",,,,,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-04-09","3.58","0.00","0.0","0.0",,"71","41",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-04-10","2.24","0.00","0.0","0.0",,"76","42",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-04-11","1.34","0.00","0.0","0.0",,"79","47",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-04-12","2.24","0.00","0.0","0.0",,"83","48",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-04-13","2.91","0.00","0.0","0.0",,"81","53",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-04-14","2.68","0.00","0.0","0.0",,"83","53",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-04-15","2.91","0.00","0.0","0.0",,"83","57",,,,,,,,,,,,,,,,,,,
