STATE,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Ohio,2011,9,1.68197,273,51,16231
Oklahoma,2011,9,4.77424,129,15,2702
Oregon,2011,9,1.91172,68,16,3557
Pennsylvania,2011,9,2.91082,485,57,16662
Rhode Island,2011,9,2.48051,175,21,7055
South Carolina,2011,9,2.88657,241,23,8349
South Dakota,2011,9,3.8888,242,19,6223
Tennessee,2011,9,3.15196,369,50,11707
Texas,2011,9,4.58565,2401,87,52359
Utah,2011,9,1.18407,66,13,5574
Vermont,2011,9,2.28095,82,13,3595
Virginia,2011,9,3.47331,2411,92,69415
Washington,2011,9,3.46903,98,14,2825
West Virginia,2011,9,4.32385,596,41,13784
Wisconsin,2011,9,3.19263,149,44,4667
Wyoming,2011,9,2.28645,106,23,4636
New York City,2011,9,2.02996,1885,39,92859
Alabama,2011,10,5.82572,593,30,10179
Alaska,2011,10,3.53371,87,8,2462
Arizona,2011,10,1.70064,443,66,26049
Arkansas,2011,10,2.61015,109,15,4176
California,2011,10,4.69447,1853,136,39472
Colorado,2011,10,2.10423,451,12,21433
Connecticut,2011,10,1.15734,37,15,3197
Delaware,2011,10,1.68552,73,13,4331
District of Columbia,2011,10,2.30938,63,3,2728
Florida,2011,10,X,X,X,X
Georgia,2011,10,2.36845,794,58,33524
Hawaii,2011,10,5.17388,61,15,1179
Idaho,2011,10,6.48731,299,10,4609
Illinois,2011,10,3.19015,1345,76,42161
Indiana,2011,10,2.72749,342,41,12539
Iowa,2011,10,1.44017,55,7,3819
Kansas,2011,10,2.50417,255,42,10183
Kentucky,2011,10,0.949242,144,14,15170
Louisiana,2011,10,3.54024,596,35,16835
Maine,2011,10,1.20046,73,29,6081
Maryland,2011,10,1.99212,177,16,8885
Massachusetts,2011,10,2.04345,585,51,28628
Michigan,2011,10,2.18373,353,48,16165
Minnesota,2011,10,2.84067,133,13,4682
Mississippi,2011,10,4.01552,621,44,15465
Missouri,2011,10,4.21369,336,30,7974
Montana,2011,10,0.801165,22,6,2746
Nebraska,2011,10,5.88957,192,16,3260
Nevada,2011,10,3.27375,619,37,18908
New Hampshire,2011,10,0.529101,28,27,5292
New Jersey,2011,10,5.05526,247,22,4886
New Mexico,2011,10,3.72878,347,25,9306
New York,2011,10,2.7215,313,85,11501
